X,y
0.38,7.81
8.05,27.84
4.25,11.6
2.32,8.44
0.01,-3.37
3.27,10.23
9.57,26.16
4.07,18.41
3.42,8.82
6.39,20.86
3.97,13.22
2.31,17.18
5.95,13.0
6.0,25.18
9.7,26.72
9.19,26.16
9.46,33.59
3.41,12.84
9.02,24.81
8.15,27.92
5.41,24.61
5.53,16.11
4.39,8.38
5.37,17.51
9.86,27.71
9.11,29.96
4.07,9.11
4.74,13.29
0.68,2.52
0.68,0.81
8.7,28.5
1.46,6.11
5.75,31.58
8.51,14.39
3.06,0.61
7.76,18.38
7.41,10.42
7.15,15.43
8.66,23.96
5.37,28.07
6.04,17.27
5.17,20.36
8.38,22.82
5.06,13.16
5.37,23.01
4.32,9.29
9.31,27.65
7.9,20.57
0.36,-11.51
5.06,26.11
6.16,14.77
5.42,28.76
8.81,28.77
7.36,15.53
2.98,10.27
9.74,20.78
2.21,12.89
8.52,28.69
9.43,20.71
4.59,13.63
6.71,22.98
1.54,3.02
7.5,21.93
8.07,25.74
1.51,13.1
1.61,1.7
7.13,8.88
0.8,13.72
1.27,9.66
3.78,16.92
5.82,17.01
9.06,29.68
7.84,22.39
9.46,34.49
3.55,7.45
4.72,17.69
3.07,5.66
4.47,16.63
0.39,6.06
7.48,31.51
5.19,10.05
5.96,19.17
6.41,17.88
7.25,18.71
7.16,13.95
2.05,7.49
4.02,12.9
9.55,26.34
7.1,22.98
5.51,17.91
3.21,10.95
5.93,14.29
3.23,14.37
0.63,14.96
4.05,14.38
2.39,12.87
1.95,10.56
0.05,6.84
7.77,20.75
3.36,15.95
1.27,0.96
6.14,24.63
5.68,17.97
0.4,5.5
3.92,17.25
0.24,7.72
6.13,14.8
0.88,6.36
4.42,25.6
9.77,25.11
3.22,-3.8
7.84,19.8
0.2,5.05
1.08,0.79
9.01,27.03
3.66,15.35
9.17,24.61
3.9,0.11
6.43,28.01
9.2,24.25
4.15,16.6
7.71,21.63
6.5,17.52
8.68,19.43
8.48,18.09
5.06,16.48
7.02,22.22
6.63,21.91
3.51,12.08
8.33,33.52
1.54,11.71
1.35,8.61
6.58,21.59
4.63,11.83
6.96,21.6
4.18,13.57
4.3,9.72
9.48,22.39
7.12,19.91
7.1,26.02
6.53,22.99
4.59,12.06
6.49,27.53
8.66,23.34
0.73,0.59
8.78,30.29
7.56,27.62
4.94,11.17
9.51,23.83
0.69,17.76
2.79,15.99
5.58,15.81
3.56,16.53
1.35,0.91
4.67,17.89
1.96,6.31
2.71,11.7
4.93,9.83
6.14,13.58
4.61,15.73
5.14,12.96
0.1,6.17
1.72,3.36
2.42,8.76
8.07,24.7
3.88,19.51
3.59,10.07
8.51,19.27
2.62,12.53
5.01,14.7
2.0,15.4
4.26,8.68
7.38,19.46
3.83,15.15
5.13,15.49
8.34,25.08
3.36,12.84
2.84,10.35
3.77,12.84
3.68,11.83
2.59,10.64
0.82,8.69
7.44,28.8
2.98,18.18
7.88,30.02
2.87,8.51
3.02,8.46
3.92,12.24
6.1,22.35
7.04,19.96
9.97,21.98
3.32,16.87
1.43,1.85
9.84,22.15
8.75,29.31
9.26,28.85
4.23,8.91
7.45,29.01
9.47,31.72
1.52,12.9
0.57,14.31
8.04,26.62
7.53,29.08
9.73,32.26
4.06,13.04
3.0,5.79
4.52,20.08
8.95,35.48
7.69,26.73
6.43,14.92
9.38,30.18
0.2,4.03
7.99,22.22
7.85,25.0
8.1,28.6
9.36,18.64
9.79,30.99
2.98,3.78
4.65,11.48
8.46,26.59
9.45,19.27
7.63,25.66
8.56,26.11
9.68,27.4
3.49,11.67
0.9,3.57
8.64,23.94
8.36,21.52
0.39,5.76
9.26,25.91
9.63,29.93
5.29,23.46
6.22,20.44
4.52,12.46
9.74,20.18
1.37,16.54
4.96,16.13
6.9,25.95
6.26,21.27
0.47,6.72
3.61,3.47
4.7,19.45
3.97,16.13
1.19,5.49
3.79,12.06
4.44,10.64
6.52,19.83
5.1,12.59
5.44,16.54
4.23,8.56
6.97,24.54
0.27,12.98
6.08,22.41
1.17,5.46
5.78,14.55
3.38,6.83
4.0,23.72
8.81,26.02
1.02,9.75
1.39,0.11
2.76,14.61
6.51,16.5
0.83,2.85
4.0,10.59
8.79,29.25
9.96,28.25
8.52,20.92
9.75,28.43
2.35,13.28
6.25,28.69
7.66,15.26
4.58,9.55
7.62,22.43
0.59,11.9
3.23,18.42
1.9,3.25
0.07,5.17
0.49,-3.65
4.99,12.66
9.24,20.45
4.61,14.44
2.4,9.08
6.12,13.72
2.85,7.79
7.8,20.68
3.29,15.28
6.25,22.04
3.58,19.44
2.74,10.06
0.11,-0.21
2.45,7.99
9.5,32.91
0.66,8.46
2.18,13.62
8.05,24.16
2.11,16.07
2.33,16.76
4.03,20.56
6.84,22.19
5.62,26.72
9.88,24.99
4.64,11.47
8.15,16.26
5.66,20.38
6.94,17.07
2.43,13.02
9.55,30.49
7.03,22.72
6.65,15.4
6.83,19.31
3.23,17.04
2.44,4.35
6.12,4.28
7.36,20.47
1.15,5.47
7.48,29.36
6.62,18.57
5.96,16.13
2.16,18.22
9.2,25.79
3.7,15.89
9.38,20.95
3.53,17.33
2.5,13.12
3.41,7.72
8.52,37.18
4.21,18.29
1.77,10.05
4.3,7.05
9.25,28.38
3.35,6.76
0.13,4.71
4.79,15.78
6.26,21.26
3.88,11.49
9.14,29.29
9.99,31.69
5.48,13.73
3.06,17.56
2.44,12.19
7.49,22.6
2.74,14.27
7.95,27.7
9.74,28.51
0.68,11.82
7.92,23.91
5.54,21.87
0.06,-0.61
8.19,24.15
6.75,19.8
5.23,13.36
5.35,13.32
6.62,20.73
9.72,27.91
5.64,10.49
2.84,1.65
3.67,10.18
8.51,28.18
6.39,23.75
6.1,17.26
1.44,11.9
2.18,9.34
4.16,11.95
6.17,22.63
7.43,27.2
1.71,17.13
5.36,4.8
2.1,11.68
0.97,12.25
7.7,18.78
1.38,-2.49
8.81,35.58
1.66,16.19
2.58,9.2
6.73,25.22
6.98,30.32
0.12,-2.41
4.2,6.6
2.91,8.89
0.37,7.3
8.44,36.33
4.68,9.93
0.35,6.37
8.42,35.17
8.94,26.39
4.64,11.01
2.74,4.7
3.24,2.05
9.58,27.5
3.44,15.62
9.67,27.54
2.23,11.54
3.02,12.36
9.94,34.77
3.79,5.29
2.16,3.81
5.37,19.1
7.82,21.87
3.54,21.89
3.61,16.41
9.48,31.48
5.45,15.64
0.06,6.35
9.43,31.18
3.98,13.54
9.55,29.39
5.72,23.99
3.48,7.81
1.88,2.03
2.58,12.67
3.18,18.88
6.37,15.11
9.49,26.44
2.09,7.61
0.76,7.45
0.71,5.34
8.91,25.25
4.22,8.68
8.44,23.34
1.2,8.91
5.41,10.9
7.89,23.08
5.88,12.15
1.1,11.6
5.06,11.87
7.17,21.91
4.7,20.84
2.87,9.73
1.43,10.53
7.58,13.28
7.25,24.22
1.23,-4.62
2.82,11.6
0.34,2.81
9.8,33.45
8.1,30.98
4.43,17.53
1.03,9.96
3.21,15.73
0.9,5.88
5.99,29.15
5.66,14.21
1.82,10.0
1.14,-6.33
2.29,9.5
9.91,34.98
7.68,20.64
9.29,22.57
0.34,5.88
7.68,20.74
4.03,8.28
3.63,7.39
0.41,6.75
0.96,3.88
8.19,18.45
2.3,8.5
9.69,35.19
2.94,13.34
1.53,6.95
1.05,7.92
3.03,10.55
7.07,24.0
6.6,18.05
6.69,33.02
1.17,6.28
9.07,29.49
6.24,20.26
4.37,14.21
3.92,14.8
9.46,30.25
5.45,19.74
8.98,35.95
3.51,23.72
9.04,33.14
6.05,23.95
1.85,10.71
7.7,13.92
0.27,4.02
1.72,11.36
4.26,12.56
7.0,23.56
1.97,9.37
0.12,-1.73
6.95,16.86
2.01,5.67
5.92,15.7
0.26,4.77
10.0,34.86
4.68,17.02
4.24,17.94
6.55,19.85
3.97,9.69
5.51,15.77
7.82,31.78
0.89,3.79
1.12,13.39
3.12,8.61
2.52,4.66
6.46,28.99
5.02,15.96
7.55,23.41
8.45,25.24
1.11,7.95
0.58,8.25
1.91,3.58
3.57,10.64
9.44,26.46
1.45,6.41
5.2,17.32
4.04,7.92
5.88,14.57
7.38,18.17
7.37,20.5
2.59,7.1
9.9,33.38
1.67,12.72
7.88,19.53
2.83,10.45
8.07,22.45
6.29,17.26
3.78,15.31
7.17,22.5
0.26,-2.33
9.22,33.13
7.97,27.64
2.92,7.55
2.64,10.89
2.4,17.96
4.88,21.62
4.75,6.11
0.54,8.1
1.73,13.7
1.73,0.06
6.45,26.51
6.36,18.9
5.16,19.54
1.4,6.33
4.79,14.4
1.56,13.6
1.32,-1.04
7.21,22.52
8.71,20.32
2.53,10.77
5.35,20.42
2.63,17.15
9.0,28.92
4.92,15.26
5.0,16.0
2.95,10.95
9.8,25.37
8.6,27.27
0.91,-0.17
5.59,17.94
7.72,22.61
7.12,15.07
1.02,7.28
4.66,25.48
3.15,14.63
8.21,29.29
8.21,34.23
1.18,6.56
8.92,27.22
2.48,6.78
2.97,14.82
5.54,10.55
1.32,8.46
7.79,27.51
3.12,10.36
7.11,20.59
1.55,6.79
7.63,31.71
4.01,14.39
3.88,11.32
0.43,2.37
8.2,24.89
7.37,21.67
2.5,14.86
1.14,10.91
4.37,12.32
8.93,23.16
0.85,3.15
0.62,10.92
1.07,11.74
1.5,0.89
4.81,10.26
5.46,7.65
3.46,17.69
8.41,24.96
1.1,8.53
6.19,18.84
7.19,16.01
7.28,29.95
9.44,29.44
4.17,12.13
3.11,11.56
8.34,18.59
8.0,22.9
3.86,10.92
2.79,2.86
0.27,4.88
1.3,8.47
3.32,7.58
8.75,20.79
0.45,3.14
9.02,22.0
9.36,34.41
7.54,27.4
3.55,12.45
7.07,23.19
6.15,17.97
9.78,25.85
1.2,8.29
0.09,2.91
7.87,27.18
1.84,9.27
3.01,12.9
7.35,19.67
1.86,3.66
4.58,9.61
3.52,15.32
2.36,14.34
3.33,6.65
8.09,22.6
3.74,22.42
1.18,9.6
8.91,24.52
1.47,10.84
8.82,31.05
8.29,26.21
0.43,0.42
4.16,16.91
3.28,6.85
5.33,21.36
6.34,17.97
7.42,16.72
8.11,26.61
0.61,15.53
1.56,11.66
0.31,2.0
0.12,9.89
9.87,29.76
8.99,33.18
8.03,24.55
6.2,12.85
1.12,-1.06
0.47,1.04
8.06,21.85
8.94,29.23
0.2,-4.12
2.31,8.8
9.65,31.13
8.33,25.16
9.47,31.91
8.65,14.32
2.45,13.3
5.54,14.27
4.34,12.15
3.09,16.86
6.82,25.53
2.71,8.68
6.12,21.35
9.7,29.25
0.4,-0.98
6.03,26.5
5.49,24.27
7.49,23.33
8.98,35.69
3.48,6.28
0.68,-0.29
6.52,18.35
3.51,9.09
1.78,1.36
2.46,2.05
7.39,25.76
4.68,13.65
7.81,35.2
0.75,8.86
8.04,17.22
5.61,17.51
8.79,15.48
7.83,21.61
8.9,28.65
8.29,18.44
4.54,21.41
3.43,8.37
3.8,18.38
2.55,12.09
1.96,9.9
9.17,32.43
5.15,6.78
4.72,19.3
3.99,6.13
0.39,11.68
2.72,5.45
9.13,16.75
3.25,4.44
6.32,26.86
6.01,30.46
1.05,5.85
1.15,-3.84
0.87,12.4
2.59,15.26
1.5,4.71
7.7,25.21
4.45,12.44
1.4,8.15
4.97,18.77
3.07,13.82
5.56,4.95
5.89,19.19
5.11,23.53
4.67,15.74
4.59,9.54
0.59,10.66
7.07,19.61
2.69,9.26
6.84,20.3
1.88,10.61
8.13,24.31
1.63,8.75
8.81,21.15
7.26,22.78
7.87,29.74
7.93,35.02
6.83,20.89
2.77,9.92
7.32,18.55
1.4,0.89
7.84,25.83
5.99,20.63
2.32,6.73
6.53,25.92
4.88,14.61
6.49,14.66
8.72,20.31
0.34,0.03
1.32,3.72
2.91,11.3
2.54,3.17
5.88,18.19
9.68,36.58
4.27,15.3
0.28,7.35
6.05,17.1
1.73,8.01
1.25,10.11
1.93,10.32
3.76,20.25
1.33,5.33
4.45,14.84
2.04,1.93
6.41,10.51
2.64,11.57
8.89,30.59
4.18,8.03
1.22,1.53
0.29,4.25
6.44,14.95
8.29,27.4
2.52,10.97
1.77,7.72
4.37,14.16
2.46,16.2
5.76,18.97
8.92,31.01
8.32,19.91
1.81,20.59
0.34,6.7
0.9,0.31
3.14,12.29
5.29,10.67
8.86,22.91
4.71,6.85
7.13,12.5
2.16,12.35
5.71,23.02
0.93,-0.69
2.54,14.89
2.89,4.23
6.88,24.0
0.75,1.58
5.28,19.07
5.84,24.44
1.85,13.28
3.52,15.38
9.26,22.14
3.5,20.22
4.05,10.59
5.7,19.45
8.53,18.93
4.46,17.2
0.36,0.63
7.09,31.6
8.35,18.2
0.38,11.63
5.33,25.0
5.67,23.31
2.95,15.45
0.01,8.29
6.02,21.98
5.29,17.78
7.19,28.5
0.94,14.14
5.15,21.75
1.6,0.71
0.11,2.46
3.51,5.28
4.96,14.77
5.82,17.48
9.4,24.24
9.68,34.74
2.23,9.37
2.94,16.86
4.63,11.61
8.18,23.96
1.39,11.48
0.93,3.03
0.34,4.36
6.99,23.58
3.66,15.99
8.67,28.27
2.18,9.14
3.97,11.77
8.06,22.58
1.85,8.5
1.0,-0.02
6.85,20.39
5.33,12.09
1.63,5.91
3.39,14.57
3.64,4.43
6.33,18.89
8.25,22.0
9.85,25.79
6.79,22.11
1.52,5.6
5.62,13.72
0.88,13.45
2.43,13.2
6.16,18.25
9.99,23.31
1.43,8.23
6.28,22.72
1.79,2.47
0.78,2.11
0.21,5.31
2.72,13.17
2.12,4.19
4.53,4.33
1.26,3.69
7.63,28.86
0.87,6.18
7.58,21.29
8.89,31.64
8.6,26.72
4.28,21.21
5.64,21.97
1.09,0.19
1.44,1.6
9.16,32.8
3.95,12.75
5.09,9.25
1.43,0.74
0.98,9.23
0.33,17.05
0.64,10.03
2.75,8.79
8.35,31.98
2.79,12.91
9.16,24.2
3.45,21.89
2.07,15.93
5.89,16.48
3.23,7.13
3.9,11.65
2.83,15.52
4.41,22.17
8.49,23.95
3.78,10.54
4.21,11.88
4.81,19.34
7.43,27.47
6.48,20.53
8.22,19.9
6.01,22.69
5.21,13.48
5.66,12.3
4.14,11.12
2.66,15.72
8.17,25.94
1.64,9.74
5.31,18.22
0.91,7.85
8.02,28.18
1.9,23.03
4.23,6.49
4.37,20.41
8.1,25.15
2.88,18.74
8.57,33.18
2.0,8.39
3.23,11.98
8.12,20.23
2.4,9.74
9.13,24.08
0.16,4.26
4.06,17.09
3.92,13.23
9.88,30.25
9.25,37.91
5.08,16.21
4.16,9.52
6.87,26.71
9.62,31.51
9.96,30.5
5.02,13.95
0.53,14.91
0.84,5.78
9.02,24.25
6.77,20.43
8.62,21.42
8.02,29.01
2.14,3.54
5.72,20.28
0.55,5.41
8.97,25.82
2.75,7.58
8.79,24.06
9.94,26.15
2.76,5.19
1.89,10.71
8.07,24.42
3.98,9.09
4.73,17.91
5.86,18.11
7.6,20.16
4.83,10.04
2.71,5.3
7.1,23.98
3.32,16.89
0.75,4.4
5.34,18.54
7.25,18.12
2.39,13.13
9.8,34.54
8.45,18.43
4.29,6.43
2.88,11.17
4.61,21.79
3.49,20.79
9.31,31.09
7.05,34.26
8.55,16.96
5.22,12.5
9.09,21.59
0.94,7.18
0.48,8.97
4.72,21.55
0.25,5.38
2.57,13.47
1.32,2.08
3.38,9.0
9.99,26.94
3.29,6.08
2.3,11.71
2.83,17.38
8.46,32.55
7.24,21.14
9.54,22.86
9.84,25.91
4.18,16.95
0.41,13.16
0.31,-2.41
7.04,20.46
1.2,0.03
7.52,31.04
9.95,32.03
3.98,12.89
4.63,15.5
5.55,21.78
7.78,19.81
4.87,25.12
9.5,28.85
5.5,10.42
6.6,33.92
7.27,19.06
0.38,6.14
1.63,5.03
2.29,8.51
8.07,27.86
9.26,35.72
7.83,30.1
9.81,28.91
4.51,18.87
7.84,20.86
7.34,22.23
6.51,12.24
9.17,30.64
3.34,12.09
8.4,24.06
4.16,18.61
5.94,17.03
8.0,25.51
0.86,4.25
3.26,15.12
9.45,21.21
7.66,12.34
5.93,14.39
1.27,1.33
8.88,24.83
8.64,34.05
2.03,5.76
1.85,21.92
8.7,24.19
2.72,14.74
8.07,21.99
0.74,9.33
7.27,20.89
5.99,25.26
4.25,13.0
6.08,20.76
6.71,17.95
1.78,9.68
2.58,5.06
7.77,26.8
1.52,17.22
3.21,19.8
0.11,10.0
7.56,22.83
2.89,7.52
6.1,19.05
3.31,17.68
0.22,3.81
5.95,23.18
2.76,18.58
1.83,4.34
8.08,20.48
1.82,14.81
9.3,23.46
4.98,16.5
6.26,15.34
6.82,20.74
7.31,22.22
5.13,23.24
3.16,10.09
3.59,15.63
6.7,31.8
7.0,23.13
6.45,21.4
4.26,12.95
7.94,27.36
5.67,16.81
0.33,4.9
8.66,25.76
9.33,27.49
7.46,22.6
8.69,28.38
9.54,29.27
5.36,17.43
2.84,16.68
0.25,8.99
5.58,13.2
8.47,25.04
5.14,22.4
1.45,5.88
8.14,25.19
2.24,14.97
4.82,21.68
8.55,25.29
4.02,14.54
5.41,10.8
8.67,24.79
1.79,2.61
3.24,24.77
9.69,30.19
2.6,10.96
6.09,13.21
9.49,30.23
6.64,20.97
8.62,24.49
1.88,4.33
2.95,11.85
6.88,23.65
6.1,17.57
5.47,14.12
0.1,9.91
5.06,15.92
0.07,4.74
4.0,5.17
9.7,13.18
3.17,13.16
7.62,13.13
5.17,13.27
0.72,-1.45
5.86,23.0
2.86,14.92
5.09,17.63
1.33,15.95
9.73,37.75
5.76,20.61
8.29,21.02
2.79,9.89
4.02,19.86
1.95,8.9
3.46,11.91
3.82,20.87
8.23,20.7
5.27,21.98
7.26,13.3
4.23,10.93
4.87,15.81
5.63,17.76
8.74,24.56
2.08,7.59
3.85,13.33
8.15,16.42
1.56,9.97
5.6,20.63
5.77,14.5
5.98,18.88
4.98,13.29
8.13,29.12
7.71,24.85
0.79,11.8
8.02,27.61
3.25,11.36
1.87,10.51
9.7,26.53
0.77,18.43
2.31,-0.07
8.65,31.28
7.42,18.19
8.22,24.53
0.23,9.91
9.71,22.74
4.33,19.04
9.19,27.45
5.13,3.15
2.0,5.79
0.07,-3.9
7.97,23.48
0.12,3.66
8.48,26.2
1.56,4.17
8.08,26.93
7.48,24.56
5.29,24.16
7.44,27.9
2.12,15.11
3.6,15.52
8.75,32.0
0.57,5.34
9.65,31.75
9.93,25.96
5.19,21.84
9.52,28.12
4.4,17.03
6.09,16.71
4.38,10.55
6.18,18.61
7.57,14.96
9.54,33.15
9.71,18.89
8.94,22.72
4.12,16.1
1.54,11.4
8.58,24.4
6.67,12.11
2.68,6.28
4.56,21.65
7.07,17.81
1.02,-0.3
2.12,9.99
4.38,14.05
0.79,2.37
4.6,15.38
4.43,29.76
0.5,2.5
2.19,9.0
9.36,35.01
6.28,34.11
9.95,29.9
9.75,30.2
9.31,28.69
1.5,13.63
3.49,7.35
2.86,12.6
1.56,8.41
1.24,6.43
8.47,28.95
9.29,23.15
4.95,14.62
2.44,2.9
7.7,26.11
5.52,9.6
0.86,14.1
5.42,13.76
5.19,14.13
4.79,16.41
0.76,17.52
6.16,24.89
4.66,15.54
0.93,7.51
3.38,14.94
6.55,12.09
0.13,10.16
5.33,13.2
1.31,2.6
5.46,22.26
3.91,12.38
5.03,22.93
9.99,36.95
7.97,19.52
4.08,21.71
0.14,0.67
8.39,32.24
1.86,8.96
6.3,16.34
5.6,18.85
9.85,31.84
2.79,0.56
8.21,15.88
9.28,25.14
7.67,22.33
3.29,11.54
0.25,5.72
2.14,19.46
1.67,8.76
2.9,16.77
8.77,23.46
6.65,19.44
2.46,9.64
4.11,18.57
1.15,4.57
4.46,17.2
4.15,10.76
1.23,8.88
9.15,20.17
4.59,16.55
7.73,18.24
5.58,24.01
8.74,19.43
5.48,15.95
7.16,15.88
0.99,-0.44
2.52,10.8
4.37,8.35
9.99,36.51
7.69,17.53
5.2,13.01
0.28,6.44
4.07,18.16
9.65,34.09
8.66,24.35
3.78,0.56
7.78,28.8
3.47,7.99
5.05,27.48
7.91,28.21
8.94,24.32
9.18,34.4
6.05,23.52
4.01,18.03
5.37,18.9
2.25,10.17
7.14,19.58
5.2,18.43
1.11,6.1
5.25,15.27
6.78,16.47
8.04,23.88
1.78,13.19
5.86,19.21
9.02,25.87
8.68,30.52
5.07,15.72
0.45,0.33
4.4,16.03
5.47,20.21
8.74,27.49
1.11,5.35
2.58,5.68
4.41,12.81
9.46,26.3
8.29,23.88
0.2,-0.87
1.93,0.45
4.57,22.32
9.52,20.98
4.31,14.53
1.04,4.6
6.4,11.93
2.01,7.1
4.53,9.34
1.79,3.98
0.32,3.0
9.83,30.98
0.6,1.35
3.28,9.29
2.62,15.42
5.8,15.6
8.71,24.43
4.06,17.93
0.62,2.24
2.77,13.97
4.65,23.92
8.31,18.68
0.01,7.79
6.08,16.1
0.35,4.14
4.32,10.7
8.39,20.58
0.69,1.63
1.02,8.58
6.11,18.8
6.65,18.73
8.48,9.26
0.57,6.27
2.96,11.97
6.78,14.37
1.87,9.09
0.44,5.21
7.81,17.62
0.78,-2.27
1.26,13.19
6.95,32.09
6.04,14.09
8.67,22.52
4.73,14.67
3.71,7.96
9.27,27.15
1.05,11.42
0.45,1.19
3.46,14.16
2.79,17.31
5.26,11.99
8.96,27.49
4.13,9.71
6.73,18.13
5.41,11.2
1.82,6.65
5.29,10.93
0.53,-4.44
1.75,5.9
9.15,27.52
6.24,18.27
2.74,0.58
4.57,24.59
9.24,25.32
0.92,8.36
2.7,16.91
7.17,25.58
2.23,13.47
6.11,15.27
9.91,32.03
2.77,13.26
5.11,17.84
7.79,24.9
4.75,17.59
0.01,5.91
5.92,20.18
0.9,13.92
6.4,9.18
9.13,27.17
4.91,14.91
7.8,22.22
4.61,18.21
8.0,13.21
0.14,10.46
6.16,12.43
7.08,20.53
3.2,11.12
8.66,25.05
3.85,10.54
8.17,26.17
1.02,4.63
6.76,20.31
7.72,15.39
5.99,16.11
9.75,32.96
1.98,7.27
0.46,-0.12
5.81,16.31
0.97,11.89
4.4,12.94
1.83,9.56
2.11,4.71
6.28,17.9
6.59,20.22
7.19,16.0
7.1,10.9
4.24,20.69
4.37,14.3
6.33,22.83
6.6,18.41
7.14,15.06
3.92,11.95
4.17,18.44
8.81,33.55
9.58,32.18
9.12,32.04
1.22,2.73
8.77,29.14
1.23,4.01
4.25,20.36
2.93,14.97
0.77,-0.17
4.32,6.92
1.16,2.21
6.99,21.89
6.26,17.33
3.71,10.09
3.88,10.71
0.46,-5.1
6.58,24.73
4.25,23.39
6.34,28.5
4.42,12.79
0.89,10.37
0.87,12.57
5.72,19.67
2.51,13.92
7.99,24.06
3.57,18.16
9.72,21.79
4.46,18.68
0.21,5.1
4.08,13.55
9.95,26.41
4.61,13.14
1.47,7.01
9.78,25.14
7.52,20.0
8.7,23.79
9.36,25.32
7.68,18.61
6.26,19.78
2.01,8.57
9.95,24.7
7.29,20.95
0.26,5.28
6.29,24.7
2.07,16.46
4.51,12.45
3.0,16.92
0.07,3.46
8.16,27.69
3.93,8.85
9.38,23.48
9.12,27.45
5.43,12.47
0.71,6.31
3.23,14.37
2.19,17.75
7.35,20.76
7.4,20.65
8.78,30.99
0.96,3.95
1.23,9.92
1.25,16.28
7.77,31.67
8.97,27.02
0.27,5.47
6.55,14.89
1.75,-1.23
8.47,23.38
6.22,19.93
9.45,30.77
4.8,27.87
7.69,29.84
7.21,18.23
3.59,12.86
8.06,25.8
2.88,13.6
9.72,28.8
1.12,9.33
5.94,21.61
6.55,20.17
0.37,-4.47
9.99,36.51
0.06,8.67
7.13,26.08
8.13,19.73
2.0,11.13
4.75,13.98
5.49,12.01
2.08,10.24
8.11,21.51
4.84,14.97
8.8,26.42
8.74,27.94
9.38,25.3
4.81,17.75
0.48,3.61
6.87,23.85
1.98,12.55
3.85,15.47
7.28,16.71
0.12,6.5
9.88,29.13
1.25,3.36
7.14,18.92
9.31,36.4
