X1,X2,X3,X4,X5,y
5.41,7.89,5.88,1.1,5.06,236.33
7.17,4.7,2.87,1.43,7.58,3206.57
7.25,1.23,2.82,0.34,9.8,5804.59
8.1,4.43,1.03,3.21,0.9,1717.63
5.99,5.66,1.82,1.14,2.29,533.68
9.91,7.68,9.29,0.34,7.68,4191.2
4.03,3.63,0.41,0.96,8.19,2830.49
2.3,9.69,2.94,1.53,1.05,-1597.3
3.03,7.07,6.6,6.69,1.17,-381.18
9.07,6.24,4.37,3.92,9.46,6191.52
5.45,8.98,3.51,9.04,6.05,822.42
1.85,7.7,0.27,1.72,4.26,-357.28
7.0,1.97,0.12,6.95,2.01,1474.61
5.92,0.26,10.0,4.68,4.24,644.33
6.55,3.97,5.51,7.82,0.89,1162.28
1.12,3.12,2.52,6.46,5.02,823.8
7.55,8.45,1.11,0.58,1.91,433.72
3.57,9.44,1.45,5.2,4.04,-899.67
5.88,7.38,7.37,2.59,9.9,4498.36
1.67,7.88,2.83,8.07,6.29,762.04
3.78,7.17,0.26,9.22,7.97,2539.94
2.92,2.64,2.4,4.88,4.75,727.14
0.54,1.73,1.73,6.45,6.36,1470.68
5.16,1.4,4.79,1.56,1.32,454.29
7.21,8.71,2.53,5.35,2.63,326.63
9.0,4.92,5.0,2.95,9.8,6764.73
8.6,0.91,5.59,7.72,7.12,4134.81
1.02,4.66,3.15,8.21,8.21,2919.27
1.18,8.92,2.48,2.97,5.54,-401.99
1.32,7.79,3.12,7.11,1.55,-510.36
7.63,4.01,3.88,0.43,8.2,4054.56
7.37,2.5,1.14,4.37,8.93,4850.24
0.85,0.62,1.07,1.5,4.81,565.41
5.46,3.46,8.41,1.1,6.19,1346.18
7.19,7.28,9.44,4.17,3.11,361.7
8.34,8.0,3.86,2.79,0.27,1069.03
1.3,3.32,8.75,0.45,9.02,3139.52
9.36,7.54,3.55,7.07,6.15,3378.1
9.78,1.2,0.09,7.87,1.84,3502.26
3.01,7.35,1.86,4.58,3.52,-254.24
2.36,3.33,8.09,3.74,1.18,-197.52
8.91,1.47,8.82,8.29,0.43,2388.58
4.16,3.28,5.33,6.34,7.42,2331.08
8.11,0.61,1.56,0.31,0.12,1793.16
9.87,8.99,8.03,6.2,1.12,1819.47
0.47,8.06,8.94,0.2,2.31,-1233.19
9.65,8.33,9.47,8.65,2.45,2023.27
5.54,4.34,3.09,6.82,2.71,826.28
6.12,9.7,0.4,6.03,5.49,122.35
7.49,8.98,3.48,0.68,6.52,1450.64
3.51,1.78,2.46,7.39,4.68,967.69
7.81,0.75,8.04,5.61,8.79,4750.5
7.83,8.9,8.29,4.54,3.43,348.21
3.8,2.55,1.96,9.17,5.15,1381.16
4.72,3.99,0.39,2.72,9.13,3984.18
3.25,6.32,6.01,1.05,1.15,-361.98
0.87,2.59,1.5,7.7,4.45,767.14
1.4,4.97,3.07,5.56,5.89,981.85
5.11,4.67,4.59,0.59,7.07,1988.14
2.69,6.84,1.88,8.13,1.63,-40.79
8.81,7.26,7.87,7.93,6.83,3281.17
2.77,7.32,1.4,7.84,5.99,819.58
2.32,6.53,4.88,6.49,8.72,2962.34
0.34,1.32,2.91,2.54,5.88,1011.61
9.68,4.27,0.28,6.05,1.73,3128.09
1.25,1.93,3.76,1.33,4.45,435.07
2.04,6.41,2.64,8.89,4.18,447.4
1.22,0.29,6.44,8.29,2.52,364.45
1.77,4.37,2.46,5.76,8.92,3488.7
8.32,1.81,0.34,0.9,3.14,2093.78
5.29,8.86,4.71,7.13,2.16,-438.54
5.71,0.93,2.54,2.89,6.88,2256.41
0.75,5.28,5.84,1.85,3.52,-84.99
9.26,3.5,4.05,5.7,8.53,5714.84
4.46,0.36,7.09,8.35,0.38,543.65
5.33,5.67,2.95,0.01,6.02,1306.22
5.29,7.19,0.94,5.15,1.6,47.26
0.11,3.51,4.96,5.82,9.4,4054.55
9.68,2.23,2.94,4.63,8.18,5732.54
1.39,0.93,0.34,6.99,3.66,536.85
8.67,2.18,3.97,8.06,1.85,2561.32
1.0,6.85,5.33,1.63,3.39,-392.09
3.64,6.33,8.25,9.85,6.79,1599.28
1.52,5.62,0.88,2.43,6.16,905.63
9.99,1.43,6.28,1.79,0.78,3201.0
0.21,2.72,2.12,4.53,1.26,93.65
7.63,0.87,7.58,8.89,8.6,4806.94
4.28,5.64,1.09,1.44,9.16,3710.32
3.95,5.09,1.43,0.98,0.33,36.18
0.64,2.75,8.35,2.79,9.16,3404.37
3.45,2.07,5.89,3.23,3.9,388.03
2.83,4.41,8.49,3.78,4.21,76.74
4.81,7.43,6.48,8.22,6.01,1002.99
5.21,5.66,4.14,2.66,8.17,2841.36
1.64,5.31,0.91,8.02,1.9,210.59
4.23,4.37,8.1,2.88,8.57,2933.45
2.0,3.23,8.12,2.4,9.13,3393.15
0.16,4.06,3.92,9.88,9.25,4322.54
5.08,4.16,6.87,9.62,9.96,5530.09
5.02,0.53,0.84,9.02,6.77,2441.7
8.62,8.02,2.14,5.72,0.55,1419.03
8.97,2.75,8.79,9.94,2.76,2758.37
1.89,8.07,3.98,4.73,5.86,172.84
7.6,4.83,2.71,7.1,3.32,1772.22
0.75,5.34,7.25,2.39,9.8,4117.0
8.45,4.29,2.88,4.61,3.49,2217.98
9.31,7.05,8.55,5.22,9.09,5501.6
0.94,0.48,4.72,0.25,2.57,54.98
1.32,3.38,9.99,3.29,2.3,-470.24
2.83,8.46,7.24,9.54,9.84,3974.25
4.18,0.41,0.31,7.04,1.2,554.46
7.52,9.95,3.98,4.63,5.55,532.61
7.78,4.87,9.5,5.5,6.6,2483.24
7.27,0.38,1.63,2.29,8.07,3856.74
9.26,7.83,9.81,4.51,7.84,3707.91
7.34,6.51,9.17,3.34,8.4,3358.41
4.16,5.94,8.0,0.86,3.26,-166.4
9.45,7.66,5.93,1.27,8.88,5298.64
8.64,2.03,1.85,8.7,2.72,2714.01
8.07,0.74,7.27,5.99,4.25,2128.5
6.08,6.71,1.78,2.58,7.77,2563.87
1.52,3.21,0.11,7.56,2.89,429.58
6.1,3.31,0.22,5.95,2.76,1032.7
1.83,8.08,1.82,9.3,4.98,247.2
6.26,6.82,7.31,5.13,3.16,393.12
3.59,6.7,7.0,6.45,4.26,103.15
7.94,5.67,0.33,8.66,9.33,5757.29
7.46,8.69,9.54,5.36,2.84,8.56
0.25,5.58,8.47,5.14,1.45,-449.65
8.14,2.24,4.82,8.55,4.02,2512.93
5.41,8.67,1.79,3.24,9.69,3807.82
2.6,6.09,9.49,6.64,8.62,2550.3
1.88,2.95,6.88,6.1,5.47,828.57
0.1,5.06,0.07,4.0,9.7,4274.42
3.17,7.62,5.17,0.72,5.86,280.39
2.86,5.09,1.33,9.73,5.76,1424.64
8.29,2.79,4.02,1.95,3.46,2089.8
3.82,8.23,5.27,7.26,4.23,-174.75
4.87,5.63,8.74,2.08,3.85,74.94
8.15,1.56,5.6,5.77,5.98,2937.55
4.98,8.13,7.71,0.79,8.02,1745.49
3.25,1.87,9.7,0.77,2.31,-305.55
8.65,7.42,8.22,0.23,9.71,5561.76
4.33,9.19,5.13,2.0,0.07,-1154.99
7.97,0.12,8.48,1.56,8.08,3923.59
7.48,5.29,7.44,2.12,3.6,1227.13
8.75,0.57,9.65,9.93,5.19,3053.53
9.52,4.4,6.09,4.38,6.18,3866.79
7.57,9.54,9.71,8.94,4.12,206.18
1.54,8.58,6.67,2.68,4.56,-756.98
7.07,1.02,2.12,4.38,0.79,1289.31
4.6,4.43,0.5,2.19,9.36,4194.69
6.28,9.95,9.75,9.31,1.5,-910.35
3.49,2.86,1.56,1.24,8.47,3066.28
9.29,4.95,2.44,7.7,5.52,3647.28
0.86,5.42,5.19,4.79,0.76,-188.02
6.16,4.66,0.93,3.38,6.55,2077.83
0.13,5.33,1.31,5.46,3.91,219.37
5.03,9.99,7.97,4.08,0.14,-1586.07
8.39,1.86,6.3,5.6,9.85,6594.41
2.79,8.21,9.28,7.67,3.29,-807.22
0.25,2.14,1.67,2.9,8.77,3275.07
6.65,2.46,4.11,1.15,4.46,1402.93
4.15,1.23,9.15,4.59,7.73,2163.34
5.58,8.74,5.48,7.16,0.99,-370.97
2.52,4.37,9.99,7.69,5.2,423.95
0.28,4.07,9.65,8.66,3.78,142.14
7.78,3.47,5.05,7.91,8.94,5267.75
9.18,6.05,4.01,5.37,2.25,2404.59
7.14,5.2,1.11,5.25,6.78,2666.38
8.04,1.78,5.86,9.02,8.68,5288.39
5.07,0.45,4.4,5.47,8.74,3783.7
1.11,2.58,4.41,9.46,8.29,3263.7
0.2,1.93,4.57,9.52,4.31,918.62
1.04,6.4,2.01,4.53,1.79,-284.13
0.32,9.83,0.6,3.28,2.62,-1596.67
5.8,8.71,4.06,0.62,2.77,-417.22
4.65,8.31,0.01,6.08,0.35,-455.04
4.32,8.39,0.69,1.02,6.11,367.24
6.65,8.48,0.57,2.96,6.78,1476.37
1.87,0.44,7.81,0.78,1.26,-201.65
6.95,6.04,8.67,4.73,3.71,794.21
9.27,1.05,0.45,3.46,2.79,2819.79
5.26,8.96,4.13,6.73,5.41,204.66
1.82,5.29,0.53,1.75,9.15,3503.2
6.24,2.74,4.57,9.24,0.92,1308.31
2.7,7.17,2.23,6.11,9.91,4330.53
2.77,5.11,7.79,4.75,0.01,-260.06
5.92,0.9,6.4,9.13,4.91,1676.63
7.8,4.61,8.0,0.14,6.16,2331.14
7.08,3.2,8.66,3.85,8.17,3507.11
1.02,6.76,7.72,5.99,9.75,3880.9
1.98,0.46,5.81,0.97,4.4,363.45
1.83,2.11,6.28,6.59,7.19,1930.87
7.1,4.24,4.37,6.33,6.6,2679.46
7.14,3.92,4.17,8.81,9.58,5819.81
9.12,1.22,8.77,1.23,4.25,2554.12
2.93,0.77,4.32,1.16,6.99,1724.71
6.26,3.71,3.88,0.46,6.58,2132.73
4.25,6.34,4.42,0.89,0.87,-163.65
5.72,2.51,7.99,3.57,9.72,4831.46
4.46,0.21,4.08,9.95,4.61,1409.3
1.47,9.78,7.52,8.7,9.36,2469.42
7.68,6.26,2.01,9.95,7.29,3637.01
0.26,6.29,2.07,4.51,3.0,-167.41
0.07,8.16,3.93,9.38,9.12,3220.53
5.43,0.71,3.23,2.19,7.35,2485.12
7.4,8.78,0.96,1.23,1.25,181.07
7.77,8.97,0.27,6.55,1.75,541.49
8.47,6.22,9.45,4.8,7.69,3480.27
7.21,3.59,8.06,2.88,9.72,5366.77
1.12,5.94,6.55,0.37,9.99,4325.31
0.06,7.13,8.13,2.0,4.75,-360.94
5.49,2.08,8.11,4.84,8.8,3674.32
8.74,9.38,4.81,0.48,6.87,2251.45
1.98,3.85,7.28,0.12,9.88,4404.22
1.25,7.14,9.31,0.61,8.23,1642.33
2.83,2.68,9.42,1.44,9.72,4033.75
1.57,9.04,2.05,4.94,6.01,-136.79
1.25,9.41,4.13,4.34,3.72,-1190.99
1.98,1.77,3.05,8.79,2.95,627.87
0.37,2.0,7.55,5.05,0.17,-108.21
5.31,1.52,6.16,7.88,0.35,764.37
6.15,6.45,8.37,3.27,3.27,266.01
2.09,7.13,3.44,3.39,1.5,-519.42
5.33,9.73,9.91,4.04,5.69,-731.37
9.68,1.04,7.72,4.62,4.86,3431.33
4.67,6.02,9.39,9.05,3.05,206.59
9.01,4.9,0.74,1.39,0.36,2281.48
4.16,4.56,3.82,6.51,3.05,481.68
4.0,9.71,7.19,6.05,0.16,-1439.15
0.78,1.44,8.55,1.66,3.75,-57.41
4.75,6.03,7.03,1.46,5.55,691.03
9.11,7.08,1.21,1.13,2.22,1992.41
5.31,0.31,4.31,0.95,3.85,778.07
6.73,9.64,2.71,6.23,9.87,4214.25
8.65,8.18,1.39,8.43,6.42,2906.78
1.37,1.78,3.61,2.91,8.39,2865.85
9.76,1.16,9.1,1.03,9.28,6514.17
6.69,0.39,9.29,7.15,6.81,2386.92
3.99,7.29,3.2,4.61,2.26,-277.12
7.37,7.19,6.42,8.41,8.19,3657.45
8.12,8.27,0.56,7.19,6.61,2480.71
7.28,5.61,7.72,6.12,4.91,1569.73
1.21,8.7,2.33,2.51,0.22,-1137.6
1.91,7.53,3.65,2.27,5.33,34.8
5.49,9.88,0.02,6.74,9.99,3833.32
4.17,6.08,3.58,3.99,6.03,1021.64
3.75,0.52,9.37,1.82,7.93,2161.39
0.97,2.32,2.96,1.05,8.31,2765.99
0.09,1.14,5.26,8.81,3.89,691.57
3.05,2.45,1.18,9.7,6.23,1871.63
6.23,2.47,4.25,2.71,4.76,1344.4
0.77,6.06,2.15,3.75,0.77,-284.93
6.03,1.89,9.51,3.25,6.64,1739.45
5.33,2.5,0.57,2.87,4.42,976.57
9.76,4.11,7.92,2.4,8.69,5913.8
8.39,5.87,2.8,8.74,5.42,2894.24
6.37,6.61,7.85,1.29,4.52,612.17
0.87,4.46,7.99,1.13,0.48,-378.5
1.23,9.93,8.47,2.77,1.95,-2045.01
9.12,1.6,4.86,5.89,1.09,2663.89
7.26,9.4,2.61,2.96,9.44,3861.24
4.47,1.57,8.73,8.9,0.47,441.07
5.12,3.6,0.45,3.56,0.77,476.53
3.42,4.01,6.21,2.15,6.18,1114.81
8.64,6.73,9.15,2.37,9.02,4767.5
1.3,8.64,5.4,4.39,8.25,1588.33
8.58,5.32,6.72,8.0,5.98,3131.94
5.68,3.95,3.9,1.27,0.33,541.96
0.36,5.51,4.58,4.0,5.26,486.04
3.6,0.33,7.33,8.73,8.15,3034.48
6.35,6.21,9.7,7.19,7.85,2612.16
9.04,0.38,1.49,8.25,6.99,4515.72
6.09,6.27,7.04,3.42,0.47,243.89
0.26,6.58,9.72,0.33,7.8,1312.26
3.68,4.73,5.68,3.67,9.29,3861.09
6.32,9.87,0.78,5.54,0.65,-737.76
4.17,2.78,6.54,7.66,8.22,3109.17
8.72,6.12,5.7,8.57,4.2,2565.11
5.14,7.38,6.4,0.45,5.78,602.6
1.26,0.19,3.54,9.3,0.64,537.38
9.26,8.24,3.74,0.66,2.52,1721.87
3.52,6.62,5.72,9.66,6.77,1679.78
2.0,8.13,6.78,0.8,4.2,-691.2
7.07,9.82,5.67,6.83,2.16,-312.86
9.42,7.33,2.96,3.41,3.53,2376.38
8.29,5.91,7.52,3.36,1.34,1418.53
7.16,6.41,5.03,5.5,9.61,5168.52
0.48,8.06,0.34,1.23,9.85,3682.09
0.99,4.28,2.76,5.23,3.31,215.52
8.46,4.94,9.49,7.58,3.54,1923.86
9.65,6.15,9.33,6.32,5.34,3107.47
8.69,5.55,1.98,7.01,1.08,2210.83
9.43,7.37,5.14,4.25,0.41,2124.43
3.01,5.36,6.04,9.03,0.18,263.72
0.74,5.57,4.13,2.46,9.11,3363.71
3.58,9.79,2.78,6.81,4.95,-698.94
0.18,5.78,7.14,3.72,7.93,1972.57
1.46,8.04,1.81,0.47,0.05,-884.32
2.64,0.09,5.55,5.0,5.63,984.86
9.63,0.49,4.83,9.44,6.04,4546.9
9.08,5.83,7.72,3.63,6.07,3079.94
4.8,4.91,7.16,3.06,9.54,4233.23
0.22,4.29,9.02,8.9,6.25,1164.09
9.0,3.7,9.21,8.24,1.82,2376.11
9.05,1.49,7.41,6.47,0.02,2480.74
9.89,6.38,7.82,3.51,2.73,2697.23
9.52,5.4,3.14,2.45,4.65,3133.81
1.55,0.76,1.44,5.6,8.02,2664.04
0.18,0.81,0.5,5.5,1.25,169.65
8.73,4.19,4.69,2.6,7.41,4068.54
8.0,6.2,0.6,6.55,1.87,1605.61
8.82,5.67,0.95,5.84,6.8,3710.56
6.72,7.99,2.98,4.13,1.2,226.54
4.97,3.42,4.47,3.42,2.8,510.54
1.6,5.77,5.19,7.61,2.18,44.18
0.9,7.81,0.43,7.26,3.37,-327.92
9.21,5.04,1.76,2.62,0.98,2451.0
0.32,8.05,8.24,1.12,5.21,-514.53
1.67,9.55,9.74,3.4,0.73,-2018.54
0.27,4.73,6.73,2.77,9.35,3657.92
0.63,7.23,3.08,3.35,0.07,-599.39
5.26,4.65,8.16,9.21,0.38,595.56
2.79,5.75,9.25,9.77,7.22,1771.46
9.17,7.7,6.04,5.91,2.35,1918.21
0.96,4.46,9.16,2.25,6.17,619.1
6.24,6.39,1.34,7.37,5.84,1682.65
0.67,0.34,0.28,3.9,5.99,1120.34
7.75,1.32,5.2,3.64,5.97,2589.26
2.12,5.55,6.13,8.29,3.59,301.19
0.83,8.44,5.25,9.64,1.95,-495.13
9.16,6.86,9.33,7.1,1.86,1888.65
7.82,2.48,0.66,1.24,1.34,1620.56
6.75,2.18,8.85,0.81,0.64,668.72
6.13,9.39,2.12,6.15,9.17,3199.19
8.63,2.29,4.27,8.29,4.34,2919.09
8.04,0.56,3.25,0.94,2.66,1835.79
6.7,4.79,4.52,9.4,1.97,1422.95
0.4,7.07,5.75,2.08,5.52,152.97
1.78,9.23,7.78,7.49,3.17,-1164.06
6.91,4.34,9.84,7.02,6.29,1961.75
0.33,0.54,5.19,3.39,5.95,1004.72
1.34,6.09,9.06,6.62,0.9,-515.71
4.3,6.06,7.29,7.0,2.66,95.16
9.13,9.9,0.64,8.52,6.4,2459.75
7.62,8.43,7.31,6.98,5.81,1452.89
4.03,0.47,8.84,8.5,7.87,2640.6
4.87,3.62,9.57,8.1,9.77,4728.8
2.23,0.33,0.78,7.29,0.96,354.72
0.28,0.14,9.66,6.74,9.06,3318.53
5.36,7.75,3.4,0.64,6.32,948.27
4.67,3.98,4.66,3.35,7.83,2598.49
9.78,6.77,6.34,9.18,5.81,3931.73
6.17,2.65,9.9,7.35,6.08,1649.47
6.19,9.38,1.64,2.9,1.69,-616.96
0.72,2.27,0.55,4.94,2.52,205.46
7.34,2.99,9.14,2.44,2.82,1031.44
8.83,0.95,1.2,6.96,6.32,3786.57
0.13,5.63,2.33,0.69,6.67,1169.97
9.26,8.35,8.31,0.11,2.72,1418.61
5.62,3.87,4.6,4.81,9.83,5166.48
7.96,3.56,7.01,0.58,5.18,2145.81
7.59,3.53,3.64,8.12,1.39,1807.64
7.01,6.56,2.59,6.91,1.43,979.67
3.49,5.67,2.34,0.57,0.89,-115.02
5.96,6.81,0.95,2.85,6.18,1386.5
0.36,7.42,5.57,7.51,6.29,749.63
2.98,7.74,2.32,1.24,3.58,-460.19
0.82,0.82,1.8,6.75,3.73,518.65
5.03,5.71,1.99,7.25,0.15,449.3
4.25,4.79,2.86,8.37,5.55,1359.16
1.09,6.03,7.32,6.77,7.42,1676.29
3.37,5.98,2.33,5.83,8.57,3007.62
2.85,0.25,2.81,4.64,9.46,4253.96
3.15,3.94,3.1,2.73,4.55,528.49
6.57,3.33,7.04,4.61,8.92,4258.29
6.05,0.74,7.12,1.88,3.79,861.72
2.88,8.98,6.46,6.69,2.58,-1010.88
1.26,8.33,7.77,2.83,1.69,-1196.69
6.63,7.68,9.29,1.87,0.71,-213.73
4.35,0.22,0.47,8.86,5.16,1448.27
3.29,5.45,3.41,1.65,3.47,98.32
5.23,3.51,3.43,4.6,4.47,974.59
0.41,6.19,3.25,0.82,9.14,3277.23
4.83,0.78,5.23,0.8,9.3,4196.43
2.86,4.14,0.28,3.56,9.43,4084.24
6.94,3.85,0.43,4.89,4.28,1569.31
0.84,2.89,6.2,5.13,3.81,267.87
1.05,4.75,6.12,6.49,7.09,1686.43
6.71,7.58,8.18,3.81,9.55,4230.31
7.84,1.59,3.0,8.71,2.75,2174.85
2.35,3.58,4.81,2.26,4.05,302.82
1.43,2.83,2.47,4.78,4.02,425.62
6.49,4.81,8.2,2.96,1.85,551.11
1.87,2.72,2.91,4.76,9.8,4634.29
0.56,0.84,1.41,9.97,9.71,5044.12
3.5,4.37,9.56,0.22,1.52,-412.43
1.79,8.49,1.76,4.23,0.67,-972.2
9.94,0.45,4.54,6.95,0.77,3488.08
7.82,6.66,1.34,7.86,2.17,1534.62
1.56,9.45,8.46,4.8,5.76,-797.18
3.35,9.99,0.75,7.58,9.48,2732.08
7.33,5.66,3.43,8.85,4.96,2111.08
1.84,0.7,3.95,2.07,9.93,4718.43
4.52,1.98,1.93,3.49,1.48,397.1
6.86,2.65,7.52,2.14,5.18,1558.64
5.94,6.21,9.91,2.41,7.16,1595.12
4.16,6.65,7.93,4.43,8.1,2159.86
7.9,0.99,6.47,5.48,8.12,4247.48
4.09,4.15,3.72,2.45,8.34,2949.03
2.1,5.9,9.51,6.18,5.41,214.61
3.34,8.62,0.62,6.98,1.2,-713.7
4.61,9.54,6.41,4.7,4.58,-788.89
4.97,0.84,9.4,2.93,4.03,340.81
0.74,4.33,9.55,5.49,4.66,59.49
9.3,3.91,4.76,8.31,9.09,6570.78
6.36,7.01,0.48,3.93,0.26,374.72
7.21,7.4,5.4,7.37,7.28,2673.91
2.71,4.16,7.09,3.23,0.83,-153.32
8.06,2.6,4.9,1.69,7.22,3521.39
4.45,6.77,2.67,8.4,9.2,3949.95
1.39,1.51,9.98,3.09,2.36,-426.32
0.45,6.7,4.22,3.9,1.19,-446.09
4.88,9.78,3.67,1.87,1.56,-1283.35
3.13,1.17,5.28,3.87,4.56,588.32
7.35,1.45,6.55,9.63,7.3,3661.84
4.25,9.05,2.0,4.19,3.9,-678.83
8.26,7.24,4.93,1.06,3.49,1408.99
8.25,2.34,2.21,6.3,6.5,3408.92
7.33,6.93,1.64,0.97,0.2,783.38
