X1,X2,X3,X4,y
8.21,0.2,2.17,5.27,44.14
3.18,0.18,0.58,6.68,3.09
5.93,6.24,4.49,9.14,44.83
7.62,3.4,4.32,7.11,49.57
2.1,7.21,8.27,4.67,41.19
8.09,4.04,9.65,2.21,80.81
9.83,7.91,1.51,3.89,107.2
0.97,8.14,6.96,2.85,55.39
5.1,2.33,7.37,5.59,33.73
1.21,3.8,2.18,1.35,34.97
6.42,3.24,5.66,4.34,48.79
3.33,3.03,9.45,6.1,26.25
9.83,0.7,9.92,7.75,49.52
4.03,9.81,7.69,9.72,52.65
5.51,9.18,4.81,0.82,95.92
7.81,5.99,7.03,4.17,79.32
7.1,5.6,4.49,8.64,51.64
9.93,0.67,6.49,2.67,67.89
0.82,4.58,0.74,2.29,29.19
9.55,6.01,2.26,7.48,76.76
2.98,3.31,2.04,8.96,6.05
5.44,2.04,7.08,2.99,47.32
7.75,0.73,2.94,3.11,44.54
1.8,0.01,8.8,6.82,-6.94
6.49,5.34,1.79,0.27,85.37
8.54,0.39,6.19,0.07,64.79
7.09,0.14,7.0,5.14,36.57
6.53,6.88,1.48,3.18,78.53
8.18,8.2,4.13,1.4,106.8
7.87,1.75,2.47,0.13,64.38
2.76,7.83,3.67,5.96,46.51
0.12,2.78,3.96,0.75,13.07
4.3,5.61,5.94,7.66,38.08
5.46,8.9,9.43,6.15,68.27
0.22,5.4,6.15,7.02,14.43
4.88,6.28,5.99,9.52,41.59
4.11,4.53,2.78,1.38,60.32
6.76,0.94,5.82,2.72,52.35
9.23,4.86,1.09,0.67,94.85
8.17,5.55,5.25,8.56,59.44
6.11,8.53,0.82,2.05,88.36
4.14,7.97,8.28,4.82,63.63
2.07,1.12,2.52,9.41,-10.71
7.29,8.78,9.9,6.33,86.0
8.72,7.06,5.6,8.85,71.04
9.64,6.77,5.83,5.36,91.27
8.6,8.3,1.91,3.05,100.75
2.36,2.46,7.67,8.34,3.14
1.27,7.06,5.54,4.85,35.65
7.56,4.31,6.03,5.66,68.28
7.36,1.26,3.01,3.03,58.33
1.49,2.32,8.89,9.62,-5.44
8.87,0.21,6.81,4.25,53.23
2.3,0.0,8.87,5.02,1.45
8.09,6.71,5.85,7.02,72.22
9.49,5.62,6.33,1.31,98.48
3.64,6.07,2.79,6.14,45.24
6.83,3.9,0.86,2.67,65.58
0.38,9.37,7.21,3.83,52.94
8.05,2.84,9.32,6.32,52.67
4.25,5.68,0.16,8.02,35.04
2.32,2.05,1.87,6.24,3.6
0.01,3.92,7.7,6.81,4.55
3.27,9.36,4.07,1.19,72.77
9.57,8.37,0.41,6.29,91.64
4.07,5.82,1.79,3.96,52.33
3.42,1.71,7.79,6.94,9.23
6.39,6.85,7.12,2.53,83.5
3.97,2.09,7.15,3.87,30.15
2.31,6.96,0.78,6.96,36.19
5.95,6.08,1.83,9.28,48.97
6.0,5.21,0.01,1.43,72.26
9.7,5.33,1.11,2.59,92.02
9.19,3.49,8.35,3.67,80.02
9.46,1.69,6.27,2.27,72.14
3.41,3.91,4.31,8.55,22.8
9.02,0.7,7.26,7.89,41.85
8.15,0.89,6.72,1.92,59.08
5.41,2.37,3.26,6.1,35.18
5.53,1.04,3.52,9.71,11.91
4.39,9.95,0.77,5.42,71.77
5.37,4.45,5.38,5.44,46.12
9.86,9.83,6.03,2.1,130.61
9.11,4.94,5.43,6.61,67.13
4.07,8.8,7.55,4.7,76.24
4.74,3.41,5.65,2.87,46.02
0.68,4.28,2.23,6.0,10.64
0.68,3.33,4.97,9.35,-4.48
8.7,3.74,9.55,6.56,64.04
1.46,1.54,8.37,3.54,5.81
5.75,8.89,5.39,3.05,89.63
8.51,8.28,4.86,1.63,104.25
3.06,2.25,5.69,0.9,42.12
7.76,8.9,2.4,5.35,84.64
7.41,5.26,1.64,6.86,60.22
7.15,0.73,7.77,9.1,20.42
8.66,3.96,4.4,8.14,57.93
5.37,9.81,6.16,1.42,99.85
6.04,3.97,4.77,7.44,40.85
5.17,6.26,3.51,4.48,59.14
8.38,9.94,9.78,4.86,110.06
5.06,3.01,1.61,1.78,53.59
5.37,0.89,3.96,8.16,15.39
4.32,1.62,3.11,9.99,8.71
9.31,1.44,6.05,4.62,61.53
7.9,6.02,9.13,8.05,65.41
0.36,1.44,6.64,3.28,1.97
5.06,7.08,6.56,5.43,64.52
6.16,7.37,4.74,8.59,59.49
5.42,5.73,8.65,8.11,44.97
8.81,6.07,9.63,8.77,71.02
7.36,6.44,1.93,9.62,49.07
2.98,6.3,8.79,1.68,54.02
9.74,0.98,5.83,1.23,75.1
2.21,2.56,5.15,4.01,19.5
8.52,9.16,3.29,8.61,81.09
9.43,2.68,5.29,2.93,67.46
4.59,9.11,8.32,0.42,85.48
6.71,8.18,0.43,7.82,71.72
1.54,7.45,4.74,3.38,49.66
7.5,3.17,1.07,0.33,76.14
8.07,0.91,7.05,0.2,62.5
1.51,0.46,5.31,4.38,5.25
1.61,1.86,0.0,7.49,-4.24
7.13,4.29,0.11,3.97,64.78
0.8,2.3,7.09,6.75,-5.46
1.27,9.36,0.58,1.93,62.9
3.78,8.37,2.25,1.71,73.9
5.82,8.74,8.91,7.42,70.35
9.06,3.43,4.56,7.5,60.4
7.84,5.98,0.18,2.8,83.51
9.46,0.8,1.07,3.42,61.24
3.55,7.86,1.03,9.74,40.03
4.72,4.73,5.39,0.48,66.17
3.07,6.75,3.62,0.01,64.64
4.47,3.34,1.17,6.0,33.95
0.39,2.72,9.9,8.44,-8.9
7.48,0.71,3.41,9.23,28.71
5.19,5.19,8.23,0.22,72.13
5.96,8.5,9.86,6.45,68.95
6.41,8.84,1.1,3.17,90.29
7.25,3.12,0.79,1.48,65.83
7.16,4.31,7.24,5.99,58.55
2.05,7.86,2.08,3.47,52.8
4.02,5.04,7.06,4.93,45.91
9.55,1.76,8.58,2.27,73.45
7.1,9.3,5.73,7.69,80.64
5.51,3.74,2.64,6.98,41.54
3.21,9.25,7.86,7.51,60.41
5.93,2.36,9.31,3.2,44.91
3.23,3.36,0.66,2.59,39.58
0.63,1.76,3.04,4.23,0.69
4.05,0.69,9.55,2.22,29.45
2.39,0.19,1.95,0.4,16.48
1.95,2.02,8.09,4.74,7.84
0.05,3.06,6.67,9.26,-14.33
7.77,2.79,7.17,1.06,76.64
3.36,8.95,6.63,1.44,75.23
1.27,4.83,1.5,7.88,10.2
6.14,5.21,5.51,5.43,55.22
5.68,4.52,2.24,8.31,41.06
0.4,3.96,9.61,5.53,12.87
3.92,4.64,6.81,8.97,26.22
0.24,4.33,3.4,5.37,10.48
6.13,6.54,9.49,3.3,76.77
0.88,4.76,5.05,1.42,30.83
4.42,8.79,6.27,8.33,57.74
9.77,2.98,8.96,0.08,94.11
3.22,1.39,9.73,8.34,-2.82
7.84,2.8,0.47,8.16,44.31
0.2,3.11,9.38,0.45,24.62
1.08,6.93,5.61,8.48,20.28
9.01,0.52,3.35,1.55,67.99
3.66,5.51,5.54,1.26,54.03
9.17,5.07,8.43,8.39,67.37
3.9,4.88,1.18,1.74,54.6
6.43,6.06,8.14,3.01,78.32
9.2,4.56,3.71,8.81,62.15
4.15,2.32,7.3,6.36,23.29
7.71,6.07,2.26,6.3,68.61
6.5,2.26,6.68,9.13,32.4
8.68,4.57,7.45,0.13,90.8
8.48,9.62,1.87,5.63,96.91
5.06,9.81,1.3,4.59,79.18
7.02,7.81,9.05,0.54,97.72
6.63,7.81,2.99,9.97,54.72
3.51,0.01,9.66,7.05,3.11
8.33,3.48,5.54,6.48,59.14
1.54,4.21,4.12,6.51,16.01
1.35,2.09,3.33,6.15,3.2
6.58,7.6,0.98,8.08,65.99
4.63,9.53,4.78,6.91,63.54
6.96,9.68,6.52,9.28,79.08
4.18,2.13,1.0,8.25,18.97
4.3,1.57,7.52,4.51,24.98
9.48,6.57,1.81,8.53,77.7
7.12,9.29,6.21,2.21,102.94
7.1,2.74,2.28,8.6,37.69
6.53,3.07,9.98,0.69,68.82
4.59,6.63,5.48,6.65,48.48
6.49,5.26,9.34,3.61,65.46
8.66,4.56,4.21,9.18,54.43
0.73,9.95,6.29,5.03,47.96
8.78,0.78,5.46,7.91,36.07
7.56,0.03,8.49,7.19,34.94
4.94,1.11,7.43,1.12,42.89
9.51,8.38,5.08,7.4,93.62
0.69,7.44,5.01,6.8,22.81
2.79,8.96,8.85,8.28,44.11
5.58,2.97,2.73,1.92,58.62
3.56,8.04,2.03,6.56,46.51
1.35,4.46,3.7,6.94,11.81
4.67,6.19,7.76,1.48,67.83
1.96,1.61,2.79,9.65,-8.0
2.71,5.8,9.27,6.78,31.89
4.93,1.69,7.3,5.86,29.83
6.14,7.26,3.39,6.9,60.21
4.61,5.28,8.85,7.13,44.43
5.14,5.12,7.48,9.11,39.91
0.1,1.91,6.58,9.01,-18.97
1.72,1.4,9.44,0.9,24.83
2.42,2.74,0.13,2.07,27.88
8.07,4.48,9.0,5.87,63.44
3.88,2.46,8.97,9.96,4.27
3.59,1.14,1.72,7.25,3.6
8.51,2.11,0.81,2.92,64.66
2.62,5.5,7.87,5.29,38.61
5.01,9.9,1.44,1.7,94.12
2.0,1.08,8.27,2.86,13.83
4.26,4.06,3.39,2.75,46.54
7.38,6.9,6.45,3.42,86.56
3.83,5.47,0.44,2.17,53.63
5.13,9.58,6.86,5.45,76.14
8.34,5.41,9.33,9.69,54.95
3.36,9.82,8.38,7.37,57.12
2.84,8.54,3.28,2.15,66.5
3.77,8.84,4.15,9.44,40.85
3.68,7.38,9.68,1.92,67.37
2.59,8.28,9.25,8.37,42.28
0.82,2.53,0.0,8.92,-13.28
7.44,6.67,1.11,1.18,99.5
2.98,3.04,2.7,9.37,6.81
7.88,9.58,6.46,3.14,107.38
2.87,3.02,5.76,9.51,12.22
3.02,7.69,1.53,1.58,62.54
3.92,7.99,7.12,8.53,48.35
6.1,3.17,5.97,7.9,38.41
7.04,9.83,8.4,0.21,112.57
9.97,5.15,3.48,7.07,76.99
3.32,0.93,7.61,1.55,33.3
1.43,4.56,6.72,0.55,47.7
9.84,6.4,9.87,9.73,75.72
8.75,4.92,0.24,3.03,83.42
9.26,4.66,0.15,0.9,85.15
4.23,1.5,2.23,5.81,23.28
7.45,5.33,8.59,4.24,74.46
9.47,9.85,8.74,8.07,95.8
1.52,2.81,6.83,9.3,-0.49
0.57,9.63,5.39,8.21,33.91
8.04,6.05,4.94,3.23,90.26
7.53,4.27,7.67,4.81,64.89
9.73,4.88,5.62,4.73,84.03
4.06,4.19,1.53,6.68,30.39
3.0,7.33,3.17,5.74,47.95
4.52,2.26,1.43,7.27,18.51
8.95,8.73,3.31,3.58,104.17
7.69,2.13,6.79,5.8,45.97
6.43,3.74,8.24,5.12,53.89
9.38,0.35,8.6,6.91,43.23
0.2,2.91,5.48,8.66,-8.12
7.99,4.92,2.77,0.1,90.18
7.85,1.99,9.63,1.37,64.99
8.1,9.36,4.57,9.03,74.54
9.36,7.21,8.78,9.99,82.24
9.79,7.33,4.07,6.14,93.87
2.98,4.82,3.96,4.53,37.81
4.65,6.29,3.11,5.25,56.17
8.46,9.05,5.24,1.56,110.5
9.45,0.9,7.19,5.02,58.88
7.63,6.26,4.94,0.03,94.68
8.56,0.16,3.8,3.92,48.62
9.68,6.09,9.08,4.25,94.67
3.49,2.88,6.67,6.9,16.41
0.9,2.98,8.74,3.87,13.79
8.64,8.68,7.13,9.41,84.6
8.36,3.38,0.21,0.67,81.07
0.39,0.37,9.74,4.66,-8.24
9.26,7.1,9.82,4.42,98.38
9.63,1.74,9.39,0.93,79.9
5.29,7.56,4.9,1.07,79.23
6.22,4.16,3.82,1.16,66.34
4.52,7.65,6.81,6.7,59.16
9.74,7.01,1.68,6.16,86.24
1.37,2.57,5.95,2.71,22.71
4.96,2.74,8.17,4.24,41.16
6.9,7.07,0.04,5.24,74.06
6.26,0.52,7.05,5.46,31.11
0.47,8.07,1.05,9.76,17.13
3.61,5.96,5.32,5.17,46.11
4.7,4.69,1.48,4.67,48.16
3.97,3.55,8.26,1.47,53.01
1.19,8.41,1.69,6.0,32.17
3.79,2.49,9.31,9.29,11.94
4.44,6.41,8.42,6.53,49.84
6.52,1.26,5.9,9.87,16.23
5.1,0.7,7.42,7.9,12.06
5.44,1.76,9.32,6.6,29.35
4.23,9.08,6.92,0.66,86.6
6.97,1.62,5.78,8.77,27.79
0.27,7.89,6.59,0.96,47.47
6.08,1.78,8.26,7.06,28.77
1.17,5.46,8.55,7.36,15.37
5.78,7.13,6.06,7.99,57.24
3.38,9.59,0.3,2.84,72.58
4.0,5.12,0.75,8.76,29.77
8.81,1.42,3.07,3.01,65.25
1.02,6.83,3.88,3.98,38.17
1.39,1.28,1.15,2.31,12.54
2.76,4.02,5.52,3.55,31.48
6.51,1.27,6.89,9.44,12.44
0.83,8.54,6.41,4.78,40.58
4.0,5.31,3.53,4.74,41.36
8.79,2.11,6.33,0.48,76.17
9.96,3.61,9.79,5.83,72.02
8.52,1.85,4.24,5.72,56.9
9.75,8.42,1.53,7.61,93.11
2.35,3.42,8.44,7.23,7.68
6.25,6.7,7.19,7.6,57.43
7.66,7.09,7.98,2.74,90.07
4.58,1.06,0.45,0.82,36.39
7.62,5.88,0.95,8.56,56.66
0.59,0.17,8.69,0.11,7.87
3.23,0.78,2.15,4.45,16.8
1.9,7.61,3.16,9.17,26.62
0.07,0.52,2.32,7.39,-20.57
0.49,3.05,4.3,5.86,1.38
4.99,9.65,1.01,2.33,91.26
9.24,5.29,0.56,4.39,88.08
4.61,6.59,4.13,0.24,76.76
2.4,6.47,1.3,9.65,25.0
6.12,3.79,5.6,9.16,32.58
2.85,7.88,6.2,2.31,64.24
7.8,2.99,1.25,1.54,60.79
3.29,1.05,3.95,6.96,8.87
6.25,2.94,4.28,4.3,49.51
3.58,8.92,1.16,8.14,49.26
2.74,9.34,7.96,1.56,78.6
0.11,0.48,3.32,3.27,-5.87
2.45,6.38,7.49,2.24,52.12
9.5,2.91,0.72,9.24,46.52
0.66,0.95,4.03,8.85,-26.18
2.18,0.07,7.68,3.74,2.32
8.05,3.22,6.09,0.05,78.88
2.11,3.42,7.38,1.47,34.08
2.33,0.81,1.21,1.05,19.7
4.03,1.9,5.66,9.99,3.72
6.84,6.92,2.98,1.71,91.27
5.62,8.87,5.93,3.09,81.77
9.88,6.8,6.3,8.66,79.19
4.64,3.4,1.19,0.06,59.55
8.15,1.33,8.76,9.8,33.6
5.66,9.3,4.05,9.58,60.41
6.94,7.56,3.71,8.9,65.83
2.43,7.03,6.11,0.46,63.13
9.55,9.22,0.18,9.66,89.65
7.03,9.27,0.9,7.35,80.98
6.65,5.58,7.12,0.63,88.8
6.83,7.05,5.5,7.04,69.97
3.23,6.54,0.07,3.53,57.29
2.44,7.45,7.18,1.13,64.36
6.12,1.5,6.66,0.68,50.35
7.36,4.32,6.4,7.33,55.15
1.15,6.54,6.34,1.75,43.75
7.48,5.81,4.9,9.38,57.37
6.62,2.2,0.21,2.11,57.85
5.96,6.91,8.67,2.94,79.73
2.16,4.21,2.51,2.72,33.84
9.2,9.56,2.5,9.59,86.65
3.7,7.96,8.47,4.98,56.68
9.38,1.27,6.75,9.56,39.98
3.53,3.28,2.38,0.73,40.11
2.5,5.86,3.93,7.75,25.63
3.41,2.52,3.95,8.93,11.12
8.52,5.81,6.55,0.45,94.77
4.21,6.35,8.68,7.2,39.62
1.77,1.1,3.51,9.04,-18.64
4.3,2.54,6.51,7.22,19.38
9.25,0.39,5.42,0.39,70.16
3.35,5.68,1.27,3.52,46.13
0.13,2.78,7.18,8.47,-7.02
4.79,1.31,8.13,8.31,16.36
6.26,8.28,8.03,7.89,70.79
3.88,8.68,2.48,1.23,77.37
9.14,9.73,6.07,2.4,120.99
9.99,0.72,5.74,2.09,73.07
5.48,3.31,3.95,6.95,33.03
3.06,1.1,9.06,2.99,25.29
2.44,3.09,5.76,7.74,14.29
7.49,0.86,3.08,8.77,31.32
2.74,7.61,0.34,9.3,28.2
7.95,0.28,8.45,6.81,31.8
9.74,7.85,3.6,1.97,111.83
0.68,8.14,9.01,3.82,44.65
7.92,5.93,1.27,7.19,70.27
5.54,0.63,7.53,7.83,21.89
0.06,6.37,4.22,1.51,34.17
8.19,5.83,8.49,6.28,76.83
6.75,4.25,0.05,9.35,39.69
5.23,9.0,7.9,0.39,96.32
5.35,4.76,3.96,4.27,54.1
6.62,8.28,4.72,5.37,80.81
9.72,8.44,9.98,6.15,102.06
5.64,9.81,0.2,3.18,89.42
2.84,2.06,4.89,6.68,15.67
3.67,5.63,9.92,2.39,55.98
8.51,3.37,6.46,6.78,58.26
6.39,2.41,4.35,4.28,40.64
6.1,8.87,0.65,6.72,70.0
1.44,1.18,8.44,6.67,-3.33
2.18,3.78,8.81,5.53,24.39
4.16,0.83,0.87,9.74,-1.53
6.17,4.53,5.38,7.46,41.6
7.43,1.6,4.84,6.03,41.02
1.71,4.41,4.22,4.9,22.08
5.36,7.13,0.55,4.55,63.53
2.1,5.8,0.07,5.82,32.61
0.97,8.99,2.52,5.25,49.1
7.7,1.19,2.84,8.64,30.53
1.38,3.16,0.12,3.98,20.08
8.81,9.01,2.51,8.16,84.86
1.66,0.93,4.09,6.24,-2.51
2.58,9.29,4.29,9.67,44.29
6.73,2.43,9.14,9.77,25.57
6.98,3.21,9.34,8.89,39.13
0.12,5.0,1.68,3.89,21.17
4.2,6.95,4.75,9.43,41.54
2.91,9.86,2.91,8.47,47.86
0.37,7.08,7.94,4.94,31.9
8.44,2.6,8.14,4.72,60.78
4.68,6.05,8.81,3.47,61.62
0.35,9.38,4.26,1.7,57.7
8.42,7.8,0.1,5.52,86.48
8.94,2.3,5.04,8.07,48.81
4.64,7.64,6.62,4.86,60.05
2.74,2.08,8.74,0.51,35.56
3.24,2.25,9.71,9.51,4.74
9.58,4.14,5.52,2.21,88.2
3.44,9.39,7.91,5.19,59.15
9.67,9.7,8.34,3.62,115.99
2.23,0.67,9.23,2.8,19.52
3.02,9.86,0.65,4.61,68.34
9.94,2.69,6.77,3.92,76.34
3.79,5.06,7.13,3.66,47.9
2.16,0.88,7.12,8.01,-5.2
5.37,6.83,8.51,5.14,61.23
7.82,5.69,3.08,1.77,88.94
3.54,0.14,7.93,5.19,10.09
3.61,8.83,8.32,7.37,54.48
9.48,3.86,9.77,3.9,81.36
5.45,3.48,1.01,6.53,35.1
0.06,8.28,6.1,0.63,57.95
9.43,4.68,7.11,8.48,71.64
3.98,3.39,2.47,4.9,29.04
9.55,6.86,1.5,2.8,96.82
5.72,2.76,2.24,0.83,52.85
3.48,5.25,6.43,3.77,43.86
1.88,2.59,3.89,3.34,19.36
2.58,3.61,7.03,3.04,34.61
3.18,1.84,1.79,0.07,39.34
6.37,1.26,5.19,1.48,46.42
9.49,3.32,1.97,6.08,67.35
2.09,2.18,2.29,0.63,34.41
0.76,8.09,7.28,9.93,17.65
0.71,2.15,2.44,4.79,4.02
8.91,0.46,8.97,5.56,54.14
4.22,7.22,3.73,2.21,72.17
8.44,7.9,0.93,6.5,84.2
1.2,6.08,2.63,7.54,16.79
5.41,1.0,4.08,8.44,15.97
7.89,4.3,8.09,7.49,57.63
5.88,8.38,2.26,4.06,78.24
1.1,3.61,9.69,7.97,6.11
5.06,8.22,2.6,9.98,51.42
7.17,7.17,8.26,9.98,57.6
4.7,8.15,0.95,6.62,63.32
2.87,5.02,1.76,3.68,36.29
1.43,6.39,1.3,6.19,26.91
7.58,6.48,7.28,3.81,77.87
7.25,7.31,0.13,1.01,98.24
1.23,5.29,5.03,0.93,39.98
2.82,2.26,9.49,6.96,8.22
0.34,2.55,0.66,4.0,2.9
9.8,5.65,4.34,7.57,76.81
8.1,2.63,9.57,1.78,66.82
4.43,1.8,8.81,6.05,13.97
1.03,9.6,6.8,1.66,62.02
3.21,7.17,1.22,1.39,67.84
0.9,1.85,2.6,0.04,21.37
5.99,6.84,4.57,7.23,55.81
5.66,9.22,5.74,3.97,80.95
1.82,3.81,3.84,4.34,19.74
1.14,1.5,9.46,0.89,20.79
2.29,2.88,1.68,0.01,35.23
9.91,6.83,4.91,3.65,100.86
7.68,4.94,4.92,8.35,54.56
9.29,4.5,1.37,2.63,91.25
0.34,8.07,6.98,7.9,22.32
7.68,4.35,4.7,7.62,52.13
4.03,1.38,4.58,7.7,12.84
3.63,2.41,1.52,7.29,16.84
0.41,4.69,1.87,6.06,7.86
0.96,7.24,7.99,5.39,35.69
8.19,2.16,1.78,9.62,35.61
2.3,6.15,4.52,2.77,49.27
